==> Building model / ...
==> Training...
Batch: 0, Avg: 2.292454957962036
Epoch: 0:   0%|          | 0/200 [00:00<?, ?it/s]





Batch Idx: (45/900) | Loss: 2.389 | Acc: 10.957% (252/2300): : 46it [00:11,  3.84it/s]






Batch Idx: (93/900) | Loss: 2.379 | Acc: 10.255% (482/4700): : 94it [00:23,  4.00it/s]







Batch Idx: (397/900) | Loss: 2.150 | Acc: 19.583% (3897/19900): : 398it [01:43,  3.83it/s]







Batch Idx: (448/900) | Loss: 2.145 | Acc: 19.835% (4453/22450): : 449it [01:57,  3.68it/s]






Batch Idx: (494/900) | Loss: 2.140 | Acc: 20.000% (4950/24750): : 495it [02:09,  4.01it/s]







Batch Idx: (549/900) | Loss: 2.137 | Acc: 20.175% (5548/27500): : 550it [02:23,  3.85it/s]






Batch Idx: (595/900) | Loss: 2.134 | Acc: 20.352% (6065/29800): : 596it [02:35,  3.69it/s]







Batch Idx: (648/900) | Loss: 2.130 | Acc: 20.407% (6622/32450): : 649it [02:50,  3.86it/s]






Batch Idx: (694/900) | Loss: 2.127 | Acc: 20.558% (7144/34750): : 695it [03:01,  3.93it/s]







Batch Idx: (749/900) | Loss: 2.121 | Acc: 20.771% (7789/37500): : 750it [03:15,  3.84it/s]






Batch Idx: (796/900) | Loss: 2.119 | Acc: 20.838% (8304/39850): : 797it [03:27,  3.94it/s]






Batch Idx: (844/900) | Loss: 2.116 | Acc: 20.918% (8838/42250): : 845it [03:40,  3.93it/s]






Batch Idx: (899/900) | Loss: 2.113 | Acc: 21.067% (9480/45000): : 900it [03:54,  3.94it/s]
Batch Idx: (0/100) | Loss: 2.146 | Acc: 18.000% (9/50): : 0it [00:00, ?it/s]



Epoch: 3 | Val acc: 22.820:   2%|▏         | 3/200 [11:59<13:08:53, 240.27s/it]2.55it/s]
0it [00:00, ?it/s]
==> Training...






Batch Idx: (45/900) | Loss: 2.061 | Acc: 22.391% (515/2300): : 46it [00:11,  3.94it/s]







Batch Idx: (100/900) | Loss: 2.062 | Acc: 22.594% (1141/5050): : 101it [00:25,  3.95it/s]






Batch Idx: (147/900) | Loss: 2.055 | Acc: 22.743% (1683/7400): : 148it [00:37,  3.95it/s]






Batch Idx: (195/900) | Loss: 2.056 | Acc: 22.765% (2231/9800): : 196it [00:50,  3.91it/s]







Batch Idx: (249/900) | Loss: 2.058 | Acc: 22.608% (2826/12500): : 250it [01:04,  3.85it/s]






Batch Idx: (294/900) | Loss: 2.056 | Acc: 22.508% (3320/14750): : 295it [01:15,  3.82it/s]







Batch Idx: (350/900) | Loss: 2.052 | Acc: 22.513% (3951/17550): : 351it [01:29,  3.91it/s]






Batch Idx: (398/900) | Loss: 2.050 | Acc: 22.607% (4510/19950): : 399it [01:41,  4.01it/s]






Batch Idx: (446/900) | Loss: 2.048 | Acc: 22.801% (5096/22350): : 447it [01:54,  3.99it/s]







Batch Idx: (501/900) | Loss: 2.048 | Acc: 22.869% (5740/25100): : 502it [02:08,  3.77it/s]






Batch Idx: (545/900) | Loss: 2.047 | Acc: 23.004% (6280/27300): : 546it [02:19,  3.86it/s]







Batch Idx: (599/900) | Loss: 2.045 | Acc: 23.143% (6943/30000): : 600it [02:33,  3.83it/s]






Batch Idx: (646/900) | Loss: 2.046 | Acc: 23.181% (7499/32350): : 647it [02:46,  3.96it/s]







Batch Idx: (700/900) | Loss: 2.045 | Acc: 23.224% (8140/35050): : 701it [03:00,  3.96it/s]






Batch Idx: (749/900) | Loss: 2.044 | Acc: 23.224% (8709/37500): : 750it [03:12,  4.03it/s]






Batch Idx: (795/900) | Loss: 2.042 | Acc: 23.289% (9269/39800): : 796it [03:24,  4.01it/s]







Batch Idx: (850/900) | Loss: 2.042 | Acc: 23.314% (9920/42550): : 851it [03:38,  3.93it/s]






Batch Idx: (896/900) | Loss: 2.042 | Acc: 23.313% (10456/44850): : 897it [03:50,  3.63it/s]
Batch Idx: (899/900) | Loss: 2.042 | Acc: 23.313% (10491/45000): : 900it [03:51,  3.84it/s]



Batch Idx: (90/100) | Loss: 2.023 | Acc: 23.604% (1074/4550): : 90it [00:07, 12.14it/s]
==> Training...
Epoch: 4 | Val acc: 23.780:   2%|▏         | 4/200 [15:59<13:03:30, 239.85s/it]2.34it/s]






Batch Idx: (49/900) | Loss: 2.018 | Acc: 23.560% (589/2500): : 50it [00:13,  3.97it/s]






Batch Idx: (97/900) | Loss: 2.033 | Acc: 23.347% (1144/4900): : 98it [00:25,  3.93it/s]







Batch Idx: (150/900) | Loss: 2.038 | Acc: 23.523% (1776/7550): : 151it [00:38,  3.95it/s]






Batch Idx: (198/900) | Loss: 2.039 | Acc: 23.497% (2338/9950): : 199it [00:51,  3.91it/s]






Batch Idx: (245/900) | Loss: 2.037 | Acc: 23.642% (2908/12300): : 246it [01:03,  3.94it/s]







Batch Idx: (300/900) | Loss: 2.033 | Acc: 23.814% (3584/15050): : 301it [01:17,  3.95it/s]






Batch Idx: (348/900) | Loss: 2.033 | Acc: 23.754% (4145/17450): : 349it [01:29,  3.94it/s]






Batch Idx: (393/900) | Loss: 2.034 | Acc: 23.848% (4698/19700): : 394it [01:41,  3.90it/s]







Batch Idx: (449/900) | Loss: 2.030 | Acc: 23.942% (5387/22500): : 450it [01:55,  3.93it/s]






Batch Idx: (496/900) | Loss: 2.028 | Acc: 24.109% (5991/24850): : 497it [02:07,  3.89it/s]







Batch Idx: (552/900) | Loss: 2.026 | Acc: 24.192% (6689/27650): : 553it [02:21,  3.92it/s]






Batch Idx: (599/900) | Loss: 2.024 | Acc: 24.170% (7251/30000): : 600it [02:33,  3.94it/s]






Batch Idx: (646/900) | Loss: 2.023 | Acc: 24.210% (7832/32350): : 647it [02:45,  3.85it/s]







Batch Idx: (700/900) | Loss: 2.023 | Acc: 24.183% (8476/35050): : 701it [02:59,  3.94it/s]






Batch Idx: (747/900) | Loss: 2.022 | Acc: 24.243% (9067/37400): : 748it [03:11,  3.73it/s]






Batch Idx: (796/900) | Loss: 2.023 | Acc: 24.193% (9641/39850): : 797it [03:23,  4.02it/s]







Batch Idx: (852/900) | Loss: 2.024 | Acc: 24.101% (10279/42650): : 853it [03:37,  3.94it/s]





Batch Idx: (899/900) | Loss: 2.023 | Acc: 24.109% (10849/45000): : 900it [03:49,  4.05it/s]
Batch Idx: (0/100) | Loss: 2.098 | Acc: 20.000% (10/50): : 0it [00:00, ?it/s]



Epoch: 5 | Val acc: 24.660:   2%|▎         | 5/200 [19:56<12:56:30, 238.92s/it]2.78it/s]
Batch Idx: (0/900) | Loss: 1.928 | Acc: 22.000% (11/50): : 1it [00:00,  4.12it/s]
==> Training...






Batch Idx: (49/900) | Loss: 2.012 | Acc: 23.200% (580/2500): : 50it [00:12,  4.04it/s]






Batch Idx: (97/900) | Loss: 2.019 | Acc: 23.694% (1161/4900): : 98it [00:24,  4.03it/s]






Batch Idx: (146/900) | Loss: 2.018 | Acc: 24.027% (1766/7350): : 147it [00:36,  4.03it/s]







