==> Resuming from checkpoint...
==> Training...
Batch: 0, Avg: 2.3182623386383057
Epoch: 2 | Val acc: 22.220:   0%|          | 0/198 [00:00<?, ?it/s]





Batch Idx: (46/900) | Loss: 2.057 | Acc: 23.872% (561/2350): : 47it [00:11,  4.06it/s]





Batch Idx: (399/900) | Loss: 2.013 | Acc: 24.745% (4949/20000): : 400it [01:45,  3.85it/s]






Batch Idx: (446/900) | Loss: 2.012 | Acc: 24.890% (5563/22350): : 447it [01:57,  3.99it/s]







Batch Idx: (499/900) | Loss: 2.010 | Acc: 24.916% (6229/25000): : 500it [02:11,  3.86it/s]






Batch Idx: (546/900) | Loss: 2.011 | Acc: 24.892% (6808/27350): : 547it [02:23,  3.83it/s]







Batch Idx: (600/900) | Loss: 2.009 | Acc: 24.859% (7470/30050): : 601it [02:37,  3.76it/s]






Batch Idx: (648/900) | Loss: 2.008 | Acc: 24.881% (8074/32450): : 649it [02:49,  3.99it/s]






Batch Idx: (697/900) | Loss: 2.006 | Acc: 24.860% (8676/34900): : 698it [03:01,  3.98it/s]







Batch Idx: (748/900) | Loss: 2.007 | Acc: 24.820% (9295/37450): : 749it [03:15,  3.90it/s]






Batch Idx: (794/900) | Loss: 2.008 | Acc: 24.730% (9830/39750): : 795it [03:27,  3.81it/s]







Batch Idx: (850/900) | Loss: 2.006 | Acc: 24.832% (10566/42550): : 851it [03:41,  3.96it/s]






Epoch: 4 | Val acc: 24.800:   1%|          | 2/198 [11:49<19:18:28, 354.64s/it],  3.81it/s]
./checkpoint/checkpoint_ix6bg8oh.pth
